document_index,question
0,How much health does the Mutant Bullet Kin have?
0,Where can bishops be found?
1,What happened on day 10?
1,What did the goblins say?
2,Why was the H100 GPU chosen for computation?
2,Which masked language model was chosen for the AI?
3,When was GPT 4 made available
3,What Tensorflow features are supported?
4,How can I create graphs?
4,What is the name of the Java version of marimo?
5,What is step 5?
5,What is the advice for data scientists in finance companies?
6,What obligations are robots expected to follow?
6,How long are the minimum prison sentences for rule breakers?
7,What needs to be done to kiss the Emperor?
7,How many wings did Balduran have?
8,What is the author's favourite thing about Barcelona?
8,Did the author prefer Madrid or San Sebastian?
9,Who plays the boy in striped pyjamas?
9,What relgion are the members of the Hoss family?
10,What is the policy on semi-skimmed milk?
10,What kind of pumps will be given to people to solve inflation?
11,Which TPU is recommended?
11,What is the rest temperature of the RTX 4090 GPU?
12,What does the ++ operator do in Gleam?
12,How do sets in Python compare to sets in Gleam?
13,How many parameters does the transformer model have?
13,What is the advantage of transformers other other models?
14,What brand of bourbon did the narrator drink?
14,Who is Perry and Jackie's sibling?
15,What colour is Nan-E?
15,"What does Robby, the baby, say to the Doctor?"
16,In what version was the velociraptor introduced?
16,What was added in version 1.5.7?
17,Why did Saga stab Scratch?
17,What caliber is the bullet of light?
18,"In 'he who drowned the world', why did Gong Li sacrifice her brother?"
18,"Which book is the best?"
19,Which paper by Hinton et. al. was used in this paper?
19,Why was hardware such a limiting factor in this research?
