document_index,question,answer
0,What do keybullet kin drop?,Keybullet kin drop a key upon death.
0,What kind of gun does the bandana bullet kin use?,The bandana bullet kin wields a machine pistol.
1,What do the giants look like?,"One giant is burly, grey-skinned, and 20 feet tall. It wears heavy dark iron armour covered in metal torns. It is leaning against a chamber wall, carrying what looks to be two tower shields nearly as tall as itself, both bearing
menacing spikes.

The other giant  stands a tall giant in more mobile iron, clutching a dangerous-looking maul the size of Yasha, also leaning and looking disinterested."
1,What happens on day 2?,"After a few miles of winding tunnel, you emerge in a smaller grotto of stalactites and stalagmites dripping with condensation. Unsure if the same underground river, or another water source, is nearby, you can see quite a bit of ground water does funnel down into this area.

You encounter 2 ropers seeking the next burrowed entrance left by the Kryn."
2,What were the requirements for the project?,"The tool had the following requirements:
- Chatbot that you can ask questions and get answers in response (conversational memory is not required).
- Information is taken from an unstructured text file.
- It must be able to tell me if it doesn’t know the answer to my question.
- Fast.
- Efficient enough to run on my MacBook with other programs without any performance issues.
- Locally run for privacy and to ensure it will always be free, runnable, and consistent."
2,What data did was used to test the prototype?,Grace Hopper's Wikipedia page and Alan Turing's Wikipedia page were used to test the prototype.
5,What are the key topics of this article?,"The key topics of this article are: ""why prioritizing impact matters not just for managers, but also ICs""; ""why focusing on impact is hard""; ""how to maximize your impact""; and ""how to overcome common challenges in driving real impact""."
5,Do I have to do something all by myself to be acknowledged for it?,"You don’t have to be solely responsible for something in order to take (partial) credit for it. If you provided the analysis that resulted in a pricing change that saved the company millions, then you deserve part of the credit for that impact."
9,What is the meaning behind the infrared scenes?,"The significance of the use of infrared might be in stating how the Polish family cannot be themselves as soon as they step out of their house or into the open balcony as well. Although the girl takes on the dangerous responsibility of helping the prisoners, she still cannot express her true self in public, leading to her being shown in infrared. Another perspective is that the girl and her mother truly stand out in this horrific world solely because of their generous actions. Therefore, in a film like this, in which the Nazis and the enablers are the “normal” people, anyone with any sense of humanity has to be visually differentiated from the Hoss family members."
9,How do the people who commit atrocious acts and those that are complicit in these acts differ?,The Zone of Interest does not really differentiate between evil-doers and those supporting such evil.
10,What is the policy on Tai Chi?,"In order to calm down the passions and stresses currently exhibited in Parliament, the Loony Party would make all M.P’s have half an hours compulsory Tai chi everyday."
10,What is the proposed change for the British museum,The British Museum should have a Daddy’s section alongside the current Mummy exhibition.
13,Why are the top-right values in the raw attention weights set to negative infinity?,A mask of negative infinity is applied to the upper right entries of the raw attention weights to ensure they will zero out after softmax.
13,How can I freeze a variable during training in MLX?,"To freeze an attribute during training, you can add '_' as a prefix to the attribute name, which signals to mlx that it is not a parameter and should not be updated during training."
14,How is the narrator related to Perry,Perry is the narrator's brother.
14,How long has the narrator been sober for?,The author had been sober for seven hundred and thirty days.
17,Where was Alan Wake 2 officially announced?,Alan Wake 2 was officially announced at The Game Awards 2021.
17,When is this game set?,"This game is set in 2023, thirteen years after the events of Alan Wake."
18,Who wrote 'Divine Rivals'?,Rebecca Ross wrote 'Divine Rivals'.
18,Who was resurrected with a group of other murder victims?,Lou was resurrected along with a handful of other women murdered by a single serial killer.
