document_index,question
0,How much health does the Mutant Bullet Kin have?
0,Where can bishops be found?
1,What happened on day 10?
1,What did the goblins say?
2,Why was the H100 GPU chosen for computation?
2,Which masked language model was chosen for the AI?
5,What is step 5?
5,What is the advice for data scientists in finance companies?
9,Who plays the boy in striped pyjamas?
9,What relgion are the members of the Hoss family?
10,What is the policy on semi-skimmed milk?
10,What kind of pumps will be given to people to solve inflation?
13,How many parameters does the transformer model have?
13,What is the advantage of transformers other other models?
14,What brand of bourbon did the narrator drink?
14,Who is Perry and Jackie's sibling?
17,Why did Saga stab Scratch?
17,What caliber is the bullet of light?
18,"In 'he who drowned the world', why did Gong Li sacrifice her brother?"
18,Which book is the best?
